2026-07-13 16:24:50 | INFO     | file_logger.py:75 | 程序启动
2026-07-13 16:24:50 | INFO     | file_logger.py:75 | 从 ./查询部门人员清单.txt 中解析数据
2026-07-13 16:24:50 | ERROR    | asset_exporter.py:47 | 读取文件失败: [Errno 2] No such file or directory: './查询部门人员清单.txt'
2026-07-13 16:25:51 | INFO     | file_logger.py:75 | 程序启动
2026-07-13 16:25:51 | INFO     | file_logger.py:75 | 从 ./查询部门人员清单.txt 中解析数据
2026-07-13 16:25:51 | INFO     | file_logger.py:75 | 成功解析 2 条记录
2026-07-13 16:25:51 | INFO     | asset_automator.py:48 | ✅ 资产管理系统登录成功
2026-07-13 16:25:52 | INFO     | file_logger.py:75 | 人员0. 陈傅璇 - 综合办公室（司法警察大队）
2026-07-13 16:26:13 | INFO     | file_logger.py:75 | 程序启动
2026-07-13 16:26:13 | INFO     | file_logger.py:75 | 从 ./查询部门人员清单.txt 中解析数据
2026-07-13 16:26:13 | INFO     | file_logger.py:75 | 成功解析 2 条记录
2026-07-13 16:26:13 | INFO     | asset_automator.py:48 | ✅ 资产管理系统登录成功
2026-07-13 16:26:13 | INFO     | file_logger.py:75 | 人员0. 陈傅璇 - 综合办公室（司法警察大队）
2026-07-13 16:27:03 | INFO     | file_logger.py:75 | 程序启动
2026-07-13 16:27:03 | INFO     | file_logger.py:75 | 从 ./查询部门人员清单.txt 中解析数据
2026-07-13 16:27:03 | INFO     | file_logger.py:75 | 成功解析 2 条记录
2026-07-13 16:27:03 | INFO     | asset_automator.py:48 | ✅ 资产管理系统登录成功
2026-07-13 16:27:03 | INFO     | file_logger.py:75 | 人员0. 陈傅璇 - 综合办公室（司法警察大队）
2026-07-13 16:27:05 | WARNING  | asset_automator.py:132 | 部门:陈傅璇不存在
2026-07-13 16:27:05 | WARNING  | asset_automator.py:161 | 部门:陈傅璇 人员：综合办公室（司法警察大队）不存在
2026-07-13 16:27:05 | WARNING  | asset_automator.py:300 | ❌ 未查询到部门人员:陈傅璇 综合办公室（司法警察大队），请确认或新建账号
2026-07-13 16:27:30 | INFO     | file_logger.py:75 | 程序启动
2026-07-13 16:27:30 | INFO     | file_logger.py:75 | 从 ./查询部门人员清单.txt 中解析数据
2026-07-13 16:27:30 | INFO     | file_logger.py:75 | 成功解析 2 条记录
2026-07-13 16:27:30 | INFO     | asset_automator.py:48 | ✅ 资产管理系统登录成功
2026-07-13 16:27:30 | INFO     | file_logger.py:75 | 人员0. 陈傅璇 - 综合办公室（司法警察大队）
2026-07-13 16:27:32 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 陈傅璇 名下总共 9 条资产信息！！
2026-07-13 16:27:38 | INFO     | file_logger.py:75 | 人员1. 刘子怡 - 综合办公室（司法警察大队）
2026-07-13 16:27:39 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 刘子怡 名下总共 3 条资产信息！！
2026-07-13 16:27:48 | ERROR    | asset_exporter.py:83 | ✗ 填写表单失败: too many values to unpack (expected 2)
2026-07-13 16:27:49 | INFO     | file_logger.py:75 | 程序结束
2026-07-13 16:28:03 | INFO     | file_logger.py:75 | 程序启动
2026-07-13 16:28:03 | INFO     | file_logger.py:75 | 从 ./查询部门人员清单.txt 中解析数据
2026-07-13 16:28:03 | INFO     | file_logger.py:75 | 成功解析 2 条记录
2026-07-13 16:28:04 | INFO     | asset_automator.py:48 | ✅ 资产管理系统登录成功
2026-07-13 16:28:04 | INFO     | file_logger.py:75 | 人员0. 陈傅璇 - 综合办公室（司法警察大队）
2026-07-13 16:28:07 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 陈傅璇 名下总共 9 条资产信息！！
2026-07-13 16:28:07 | INFO     | file_logger.py:75 | 人员1. 刘子怡 - 综合办公室（司法警察大队）
2026-07-13 16:28:09 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 刘子怡 名下总共 3 条资产信息！！
2026-07-13 16:29:52 | INFO     | file_logger.py:75 | 程序启动
2026-07-13 16:29:52 | INFO     | file_logger.py:75 | 从 ./查询部门人员清单.txt 中解析数据
2026-07-13 16:29:52 | INFO     | file_logger.py:75 | 成功解析 2 条记录
2026-07-13 16:29:53 | INFO     | asset_automator.py:48 | ✅ 资产管理系统登录成功
2026-07-13 16:29:53 | INFO     | file_logger.py:75 | 人员0. 陈傅璇 - 综合办公室（司法警察大队）
2026-07-13 16:29:54 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 陈傅璇 名下总共 9 条资产信息！！
2026-07-13 16:30:25 | INFO     | file_logger.py:75 | 人员1. 刘子怡 - 综合办公室（司法警察大队）
2026-07-13 16:30:27 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 刘子怡 名下总共 3 条资产信息！！
2026-07-13 16:31:28 | INFO     | file_logger.py:75 | 程序启动
2026-07-13 16:31:28 | INFO     | file_logger.py:75 | 从 ./查询部门人员清单.txt 中解析数据
2026-07-13 16:31:28 | INFO     | file_logger.py:75 | 成功解析 2 条记录
2026-07-13 16:31:29 | INFO     | asset_automator.py:48 | ✅ 资产管理系统登录成功
2026-07-13 16:31:29 | INFO     | file_logger.py:75 | 人员0. 陈傅璇 - 综合办公室（司法警察大队）
2026-07-13 16:31:31 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 陈傅璇 名下总共 9 条资产信息！！
2026-07-13 16:31:33 | INFO     | file_logger.py:75 | 人员1. 刘子怡 - 综合办公室（司法警察大队）
2026-07-13 16:31:33 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 刘子怡 名下总共 3 条资产信息！！
2026-07-13 16:32:06 | ERROR    | asset_exporter.py:83 | ✗ 填写表单失败: Row or column values must be at least 1
2026-07-13 16:32:06 | INFO     | file_logger.py:75 | 程序结束
2026-07-13 16:32:42 | INFO     | file_logger.py:75 | 程序启动
2026-07-13 16:32:42 | INFO     | file_logger.py:75 | 从 ./查询部门人员清单.txt 中解析数据
2026-07-13 16:32:42 | INFO     | file_logger.py:75 | 成功解析 2 条记录
2026-07-13 16:32:42 | INFO     | asset_automator.py:48 | ✅ 资产管理系统登录成功
2026-07-13 16:32:42 | INFO     | file_logger.py:75 | 人员0. 陈傅璇 - 综合办公室（司法警察大队）
2026-07-13 16:32:44 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 陈傅璇 名下总共 9 条资产信息！！
2026-07-13 16:32:44 | INFO     | file_logger.py:75 | 人员1. 刘子怡 - 综合办公室（司法警察大队）
2026-07-13 16:32:46 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 刘子怡 名下总共 3 条资产信息！！
2026-07-13 16:33:00 | INFO     | file_logger.py:75 | 程序结束
2026-07-13 17:00:58 | INFO     | file_logger.py:75 | 程序启动
2026-07-13 17:00:58 | INFO     | file_logger.py:75 | 从 ./查询部门人员清单.txt 中解析数据
2026-07-13 17:00:58 | INFO     | file_logger.py:75 | 成功解析 2 条记录
2026-07-13 17:00:58 | INFO     | asset_automator.py:48 | ✅ 资产管理系统登录成功
2026-07-13 17:00:58 | INFO     | file_logger.py:75 | 人员0. 陈傅璇 - 综合办公室（司法警察大队）
2026-07-13 17:00:58 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 陈傅璇 名下总共 9 条资产信息！！
2026-07-13 17:00:58 | INFO     | file_logger.py:75 | 人员1. 刘子怡 - 综合办公室（司法警察大队）
2026-07-13 17:00:59 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 刘子怡 名下总共 3 条资产信息！！
2026-07-13 17:00:59 | ERROR    | asset_exporter.py:98 | ✗ 填写表单失败: tuple indices must be integers or slices, not str
2026-07-13 17:00:59 | INFO     | file_logger.py:75 | 程序结束
2026-07-13 17:06:43 | INFO     | file_logger.py:75 | 程序启动
2026-07-13 17:06:43 | INFO     | file_logger.py:75 | 从 ./查询部门人员清单.txt 中解析数据
2026-07-13 17:06:43 | INFO     | file_logger.py:75 | 成功解析 2 条记录
2026-07-13 17:06:44 | INFO     | asset_automator.py:48 | ✅ 资产管理系统登录成功
2026-07-13 17:06:44 | INFO     | file_logger.py:75 | 人员0. 陈傅璇 - 综合办公室（司法警察大队）
2026-07-13 17:06:44 | INFO     | asset_automator.py:334 | ✅ 查询到 综合办公室（司法警察大队） 陈傅璇 名下总共 9 条资产信息！！
2026-07-13 17:07:07 | INFO     | file_logger.py:75 | 人员1. 刘子怡 - 综合办公室（司法警察大队）
